job_title;company;location;salary_preview;date_posted_relative;url;short_description
Kommunikation;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bskills%3b83923&fsk=83923;
Buchhaltung;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdisciplines%3bBuchhaltung&di=Buchhaltung;
Vollzeit;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/vollzeit/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworktypes%3b80001;
;Coloplast Distribution GmbH;Hamburg;;vor 14 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/coloplast-distribution-gmbh-121710/jobs;
;PLATINUM GmbH & Co. KG;Bingen am Rhein;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/platinum-gmbh-%26-co-kg-203814/jobs;
;KWS Berlin GmbH;Berlin;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/kws-berlin-gmbh-287480/jobs;
;SprintRay Europe GmbH;Weiterstadt;;vor 16 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/sprintray-europe-gmbh-332135/jobs;
;ABB AG;Sasbach;;vor 4 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/abb-ag-57606/jobs;
;Adalbert Zajadacz GmbH & Co. KG;Neu Wulmstorf;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/adalbert-zajadacz-gmbh-%26-co-kg-62835/jobs;
;Rhenus Group;Hilden;;vor 4 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/rhenus-group-55272/jobs;
;Birkenstock digital GmbH;München;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/birkenstock-digital-gmbh-190974/jobs;
;TÜV NORD SERVICE GmbH & Co. KG;Hannover;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/t%c3%9cv-nord-service-gmbh-%26-co-kg-321521/jobs;
